code,field,en,pt,pack_file
07158,text,"[free] Add 1 doom to Blood Pact: You get +2 [willpower] for this skill test. (Limit once per test.)
[free] Add 1 doom to Blood Pact: You get +2 [combat] for this skill test. (Limit once per test.)","[free] Adicione 1 Perdição ao Pacto de Sangue: Você recebe +2 [willpower] neste Teste de Perícia. (Limitado a uma vez por teste.)
[free] Adicione 1 Perdição ao Pacto de Sangue: Você recebe +2 [combat] neste Teste de Perícia. (Limitado a uma vez por teste.)",/data/source/def.json
07158,traits,Spell. Pact.,Feitiço. Pacto.,/data/source/def.json
07159,name,Abyssal Tome,Tomo Abissal,/data/source/def.json
07159,text,"[action] Exhaust Abyssal Tome: <b>Fight.</b> You may use either [intellect] or [willpower] for this attack, instead of [combat]. When you initiate this attack, you may place 1 doom on Abyssal Tome (to a maximum of 3). You get +1 skill value and deal +1 damage for this attack for each doom on Abyssal Tome.","[action] Exaurir Abyssal Tome: <b>Lutar.</b> Você pode usar [intellect] ou [willpower] para este ataque, em vez de [combat]. Quando você iniciar este ataque, você pode colocar 1 Perdição sobre Abyssal Tome (até um máximo de 3). Você recebe +1 ao valor de perícia e causa +1 de dano neste ataque para cada Perdição sobre Abyssal Tome.",/data/source/def.json
07159,traits,Item. Tome.,Item. Tomo.,/data/source/def.json
07160,name,Butterfly Effect,Efeito Borboleta,/data/source/def.json
07160,text,"Fast. Play when a chaos token with a symbol is revealed during a skill test at your location <i>(before resolving its effects)</i>.
You or the performing investigator may either commit a card to this skill test, or return a card they committed to this test to their hand.","Rápido. Jogue quando uma Ficha de Caos com um símbolo for revelada durante um Teste de Perícia na sua Localidade <i>(antes de resolver seus efeitos)</i>.
Você ou o Investigador que está realizando o teste pode comprometer uma carta a este Teste de Perícia, ou devolver à sua mão uma carta que tenha Comprometido a este teste.",/data/source/def.json
07160,traits,Paradox. Blessed. Cursed.,Paradoxo. Abençoado. Amaldiçoado.,/data/source/def.json
07161,name,Third Time's a Charm,A Terceira é a Vencida,/data/source/def.json
07161,text,"Fast. Play when a skill test at your location begins.
Twice during this test, when an investigator reveals a chaos token, they may cancel it, return it to the chaos bag, and reveal a new chaos token.","Rápido. Jogue quando um Teste de Perícia na sua Localidade começar.
Duas vezes durante este Teste, quando um Investigador revelar uma Ficha de Caos, esse Investigador pode cancelá-la, devolvê-la ao Saco do Caos e revelar uma nova Ficha de Caos.",/data/source/def.json
07161,traits,Spirit.,Espírito.,/data/source/def.json
07162,name,Manipulate Destiny,Manipular o Destino,/data/source/def.json
07162,text,"Reveal tokens from the chaos bag until you reveal a [curse], [auto_fail], [bless], or [elder_sign] token. If you revealed...
- ...a [curse] or [auto_fail] token, deal 2 damage to an enemy at your location.
- ...a [bless] or [elder_sign] token, heal 2 damage from an investigator or [[Ally]] asset at your location.
This action does not provoke attacks of opportunity.","Revele fichas do Saco do Caos até revelar uma ficha [curse], [auto_fail], [bless] ou [elder_sign]. Se você revelou...
- ...uma ficha [curse] ou [auto_fail], cause 2 de dano a um Inimigo na sua Localidade.
- ...uma ficha [bless] ou [elder_sign], cure 2 de dano de um Investigador ou de um Apoio [[Aliado]] na sua Localidade.
Esta ação não provoca ataques de oportunidade.",/data/source/def.json
07162,traits,Spell.,Feitiço.,/data/source/def.json
